(protocol,38.84353259426654)
(compaction,27.79671211812639)
(root,24.279644521676374)
(minor,20.574443907148222)
(major,20.574443907148222)
(code,18.53114141208426)
(replicas,16.64722825468566)
(per-user,16.64722825468566)
(sorting,16.64722825468566)
(filters,16.64722825468566)
(domain,16.64722825468566)
(scripts,16.64722825468566)
(existing,15.430832930361166)
(monitoring,15.430832930361166)
(compactions,15.430832930361166)
(anchors,15.430832930361166)
(transactions,15.430832930361166)
(key-value,15.430832930361166)
(webtable,12.888939349199557)
(commit,11.532983977970384)
