(edge,18.130397972613025)
(matrix,16.508537540180367)
(,14.33384990355679)
(weights,11.51835693777993)
(search,11.51835693777993)
(blogs,10.30196161345544)
(model,10.30196161345544)
(collection,10.30196161345544)
(co-occurrence,9.065198986306513)
(ad-hoc,9.065198986306513)
(improvement,9.065198986306513)
(task,9.065198986306513)
(view,9.065198986306513)
(element,9.065198986306513)
(hyper-link,9.065198986306513)
(types,9.065198986306513)
(outgoing,9.065198986306513)
(objects,8.254268770090183)
(tf,8.254268770090183)
((tk,8.254268770090183)
